# wave,flux
3.872571479860000181e+03,1.037126902680000019e-17
3.872769514149999850e+03,1.037108205250000110e-17
3.872967548439999973e+03,9.919855211680001244e-18
3.873165582730000096e+03,9.919676300080000366e-18
3.873363617020000220e+03,1.037052091320000080e-17
3.873561651309999888e+03,9.919318373450000165e-18
3.873759685590000117e+03,9.591431360300000303e-18
3.873957719879999786e+03,9.591258226250000382e-18
3.874155754169999909e+03,9.591085058870000133e-18
3.874353788460000033e+03,9.590911858170000525e-18
3.874551822750000156e+03,9.590738624160000985e-18
3.874750847199999953e+03,9.432246470770000414e-18
3.874948881490000076e+03,9.432076030780001513e-18
3.875146915780000199e+03,9.431905558040001479e-18
3.875344950069999868e+03,8.790804798730001026e-18
3.875542984350000097e+03,8.790645849370001434e-18
3.875741018640000220e+03,8.790486869510001493e-18
3.875939052929999889e+03,9.431223339710001070e-18
3.876137087220000012e+03,9.431052703310001011e-18
3.876335121510000135e+03,9.430882034190001185e-18
3.876533155799999804e+03,8.798676201580000046e-18
3.876731190089999927e+03,8.789691512730000025e-18
3.876929224370000156e+03,8.386043954610000459e-18
3.877127258659999825e+03,8.385892069180000115e-18
3.877325292949999948e+03,8.789213932860000886e-18
3.877523327240000071e+03,8.789054678640000581e-18
3.877721361530000195e+03,8.797719991330001163e-18
3.877919395819999863e+03,8.797560516220000296e-18
3.878117430109999987e+03,8.797401010630001017e-18
3.878315464390000216e+03,9.429173544610001471e-18
3.878513498679999884e+03,9.429002515930000577e-18
3.878711532970000007e+03,9.428831454600000537e-18
3.878909567260000131e+03,8.796762683540000377e-18
3.879107601549999799e+03,8.796603025610000988e-18
3.879305635839999923e+03,8.796443337230001473e-18
3.879503670120000152e+03,8.787460461780000823e-18
3.879701704409999820e+03,8.787300872740000936e-18
3.879899738699999943e+03,8.787141253299999605e-18
3.880098763160000090e+03,8.383609539920000851e-18
3.880296797450000213e+03,8.285135371540000785e-18
3.880494831739999881e+03,8.284984779490000654e-18
3.880692866030000005e+03,8.284834158780001287e-18
3.880890900320000128e+03,8.284683509429999999e-18
3.881088934609999797e+03,8.284532831430000444e-18
3.881286968899999920e+03,8.210878425150001191e-18
3.881485003180000149e+03,8.160566795440001288e-18
3.881683037469999817e+03,8.160418282110000045e-18
3.881881071759999941e+03,8.210430146470001218e-18
3.882079106050000064e+03,8.283779012010000549e-18
3.882277140340000187e+03,8.283628162270000702e-18
3.882475174629999856e+03,8.283477283920000301e-18
3.882673208910000085e+03,8.283326376980001284e-18
3.882871243200000208e+03,8.793562943580001216e-18
3.883069277489999877e+03,8.793402677430000921e-18
3.883267311780000000e+03,8.793242380940000374e-18
3.883465346070000123e+03,8.209233489070000150e-18
3.883663380359999792e+03,8.209083779390000969e-18
3.883861414649999915e+03,8.792761309420000870e-18
3.884059448940000038e+03,8.859835174590000178e-18
3.884257483230000162e+03,9.396598673030000207e-18
3.884455517519999830e+03,8.859511793950001523e-18
3.884653551809999954e+03,8.792119456190001146e-18
3.884851586100000077e+03,8.859188291150001373e-18
3.885049620390000200e+03,8.791798347750000572e-18
3.885247654679999869e+03,8.207885082990001163e-18
3.885446679140000015e+03,8.207734368750001253e-18
3.885644713430000138e+03,8.791315654520000000e-18
3.885842747709999912e+03,8.858378190320000113e-18
3.886040782000000036e+03,8.790994242940000523e-18
3.886238816290000159e+03,8.790833491750001049e-18
3.886436850579999827e+03,8.206984122399999754e-18
3.886634884869999951e+03,8.857730207740001517e-18
3.886832919160000074e+03,8.857568135890000733e-18
3.887030953460000092e+03,9.185639791160001132e-18
3.887228987739999866e+03,9.185471650140001294e-18
3.887427022029999989e+03,9.185303477520000827e-18
3.887625056320000112e+03,9.185135273320000126e-18
3.887823090609999781e+03,9.184967037550000162e-18
3.888021124899999904e+03,9.184798770210000935e-18
3.888219159190000028e+03,9.184630471310000332e-18
3.888417193469999802e+03,9.184462140850001434e-18
3.888615227759999925e+03,9.184293778850001557e-18
3.888813262050000048e+03,8.855945742500000092e-18
3.889011296350000066e+03,9.183956960200000583e-18
3.889209330640000189e+03,9.327531758890000335e-18
3.889407364929999858e+03,9.327360633590001458e-18
3.889605399219999981e+03,9.391955811980000344e-18
3.889803433500000210e+03,9.925803866340000751e-18
3.890001467789999879e+03,9.326847065670000739e-18
3.890199502080000002e+03,9.925439405200000755e-18
3.890397536380000020e+03,1.005755790390000004e-17
3.890595570670000143e+03,1.008851932430000002e-17
3.890794595129999834e+03,1.005718745369999996e-17
3.890992629419999957e+03,1.029956538970000083e-17
3.891190663710000081e+03,1.040538462540000035e-17
3.891388698000000204e+03,1.040519333350000057e-17
3.891586732279999978e+03,1.040500200590000038e-17
3.891784766570000102e+03,1.040481064259999978e-17
3.891982800860000225e+03,1.040461924380000119e-17
3.892180835159999788e+03,1.040442780930000065e-17
3.892378869449999911e+03,1.040423633920000014e-17
3.892576903740000034e+03,1.064845588770000014e-17
3.892774938030000158e+03,1.064825984670000092e-17
3.892972972309999932e+03,1.040366171540000078e-17
3.893171006600000055e+03,1.040347010299999930e-17
3.893369040900000073e+03,1.064767150530000053e-17
3.893567075190000196e+03,1.064747531870000104e-17
