#wavelength	flux_tell_corrected	flux_not_tell_corrected	variance/error
3290.6349457787	-1.783578692215496e-18	-1.783578692215496e-18	3.306376898935001e-17
3290.832980007783	-1.7835345569861977e-18	-1.7835345569861977e-18	3.343117541858e-17
3291.031014236866	1.1012073654078713e-20	1.1012073654078713e-20	3.3104742444e-17
3291.2290484560467	2.7660376637340506e-19	2.7660376637340506e-19	3.393110525435999e-17
3291.4270826851302	2.765969340676204e-19	2.765969340676204e-19	3.356231748352e-17
3291.6251169142133	2.7054689892487835e-18	2.7054689892487835e-18	3.406444954967999e-17
3291.823151133394	2.7054022426609315e-18	2.7054022426609315e-18	3.417432561663e-17
3292.021185362477	2.7053355378714122e-18	2.7053355378714122e-18	3.462236338768001e-17
3292.21921959156	2.841445923211225e-18	2.841445923211225e-18	3.433328461686e-17
3292.417253820643	3.785392377863281e-18	3.785392377863281e-18	3.379007752967003e-17
3292.6152880398236	3.785299213053271e-18	3.785299213053271e-18	3.225249906636001e-17
3292.813322268907	3.785206106590583e-18	3.785206106590583e-18	3.35012893747e-17
3293.01135649799	2.7050026400703447e-18	2.7050026400703447e-18	3.234683139804999e-17
3293.2093907270732	1.5728450955996305e-18	1.5728450955996305e-18	3.32508716606e-17
3293.4074249462537	2.7048697726800768e-18	2.7048697726800768e-18	3.342453758792999e-17
3293.605459175337	3.784834263555043e-18	3.784834263555043e-18	3.501087146054999e-17
3293.80448357814	3.784740984388569e-18	3.784740984388569e-18	3.401179975104001e-17
3294.0025177973207	6.8366639111309316e-18	6.8366639111309316e-18	3.341954418782e-17
3294.200552026404	9.523313337214808e-18	9.523313337214808e-18	3.291344652516001e-17
3294.3985862554873	9.523080219798328e-18	9.523080219798328e-18	3.296679718968e-17
3294.5966204845704	6.836161867396375e-18	6.836161867396375e-18	3.305088116498001e-17
3294.794654703751	3.109108417543666e-18	3.109108417543666e-18	3.241321230312001e-17
3294.992688932834	3.1090324482678274e-18	3.1090324482678274e-18	3.30496826154e-17
3295.190723161917	3.1089565265808606e-18	3.1089565265808606e-18	3.208782176469e-17
3295.3887573910006	6.835493942145095e-18	6.835493942145095e-18	3.17505415891e-17
3295.586791610181	6.835327222259605e-18	6.835327222259605e-18	3.354767087854e-17
3295.784825839264	6.835160606803696e-18	6.835160606803696e-18	3.314743019315e-17
3295.9828600683472	6.834994095720284e-18	6.834994095720284e-18	3.272855944332e-17
3296.1808942974303	6.834827688943858e-18	6.834827688943858e-18	3.290551563013e-17
3296.3789285265134	6.8346613864088104e-18	6.8346613864088104e-18	3.216551799612999e-17
3296.576962745694	6.834495188057752e-18	6.834495188057752e-18	3.184156989005999e-17
3296.7749969747774	9.520294175023862e-18	9.520294175023862e-18	3.215441052432e-17
3296.9730312038605	6.834163103602793e-18	6.834163103602793e-18	3.145058668455e-17
3297.1710654329436	3.108199920567764e-18	3.108199920567764e-18	3.194849299104001e-17
3297.369099652124	2.7035498889394114e-18	2.7035498889394114e-18	3.193593742985e-17
3297.567133881207	1.5720008904064721e-18	1.5720008904064721e-18	3.090983822707e-17
3297.7651681102902	1.5719628019822623e-18	1.5719628019822623e-18	3.246048569231999e-17
3297.9632023393738	2.7033533786073843e-18	2.7033533786073843e-18	3.195621281225e-17
3298.1612365684564	3.1078233917053496e-18	3.1078233917053496e-18	3.136853625871999e-17
3298.3592707876373	3.1077482273861685e-18	3.1077482273861685e-18	3.210365069519999e-17
3298.5573050167204	3.1076731101427407e-18	3.1076731101427407e-18	3.234326421930002e-17
3298.7553392458035	2.7030919387672082e-18	2.7030919387672082e-18	3.253462649755999e-17
3298.9533734748866	1.5717347719204675e-18	1.5717347719204675e-18	3.251975092706e-17
3299.1514077039697	9.689440541305034e-19	9.689440541305034e-19	3.174831760594e-17
3299.35043209687	-8.413756975395632e-18	-8.413756975395632e-18	3.09227935452e-17
3299.5484663259535	-1.5662811387300454e-20	-1.5662811387300454e-20	3.15862754016e-17
3299.7465005550366	9.688738895615867e-19	9.688738895615867e-19	3.108830468668e-17
3299.944534774217	1.5715452114999154e-18	1.5715452114999154e-18	3.220903398678002e-17
3300.1425690033	9.68827264170392e-19	9.68827264170392e-19	3.088080013304001e-17
3300.3406032323833	1.571469629126497e-18	1.571469629126497e-18	3.187541434094999e-17
3300.5386374614664	1.5714318734340337e-18	1.5714318734340337e-18	3.096171397399999e-17
3300.73667169055	9.687574355159589e-19	9.687574355159589e-19	3.062426162196e-17
3300.934705919633	9.687341884419308e-19	9.687341884419308e-19	3.097798325999999e-17
3301.1327401388135	9.687109559251232e-19	9.687109559251232e-19	3.132238249782e-17
3301.3307743678965	-1.5659424915479735e-20	-1.5659424915479735e-20	3.2172584655e-17
3301.5288085969796	9.686645345188804e-19	9.686645345188804e-19	3.013614049034001e-17
3301.726842826063	-1.5658674955124307e-20	-1.5658674955124307e-20	3.17683392628e-17
3301.924877055146	-8.41113102381896e-18	-8.41113102381896e-18	3.069237258752e-17
3302.1229112842293	-1.5657925933506657e-20	-1.5657925933506657e-20	3.034153200609e-17
3302.32094550341	-8.410728925590106e-18	-8.410728925590106e-18	3.130101844892001e-17
3302.518979732493	-1.151866047993033e-17	-1.151866047993033e-17	3.087691692700001e-17
3302.717013961576	-1.1518385563298831e-17	-1.1518385563298831e-17	3.084681757949001e-17
3302.9150481906595	-1.1518110818743739e-17	-1.1518110818743739e-17	3.073236993888e-17
3303.1130824197426	-8.40992623819148e-18	-8.40992623819148e-18	3.091400042832e-17
3303.3111166488256	-1.565568448857728e-20	-1.565568448857728e-20	3.138520529085999e-17
3303.509150868006	-1.5655311732358443e-20	-1.5655311732358443e-20	3.05120198016e-17
3303.707185097089	-8.40932554043798e-18	-8.40932554043798e-18	2.988717195074e-17
3303.9052193261728	-1.1516739673076058e-17	-1.1516739673076058e-17	2.957792963970002e-17
3304.1032535552554	-1.3060080953952508e-17	-1.3060080953952508e-17	2.902023944456e-17
3304.3012877843385	-1.3059770746185024e-17	-1.3059770746185024e-17	2.79861190808e-17
3304.4993220134215	-1.1515919043162411e-17	-1.1515919043162411e-17	2.914435323441e-17
3304.6973562326025	-1.3059150912795225e-17	-1.3059150912795225e-17	2.972222285141999e-17
3304.8963806354054	-1.3058839739245754e-17	-1.3058839739245754e-17	2.948030912580001e-17
3305.0944148644885	-1.3058530308000985e-17	-1.3058530308000985e-17	2.964669778679e-17
3305.2924490935716	-1.1514825900823658e-17	-1.1514825900823658e-17	2.9746266066e-17
3305.490483322655	-1.1514553383542094e-17	-1.1514553383542094e-17	2.966237035688001e-17
3305.688517551738	-8.407330347040688e-18	-8.407330347040688e-18	2.949485541899999e-17
